industry,得分,股票数,平均分,代表股
装修建材,16,2,8.0,"华立股份(SH603038,+43%)"
种植业,64,9,7.11,"万向德农(SH600371,+83%)"
养殖业,14,2,7.0,"神农集团(SH605296,+15%)"
装修装饰Ⅱ,14,2,7.0,"江河集团(SH601886,+58%)"
煤炭开采,120,18,6.67,"上海能源(SH600508,+37%)"
化学原料,88,14,6.29,"金牛化工(SH600722,+55%)"
化学制药,44,7,6.29,"东亚药业(SH605177,+32%)"
燃气Ⅱ,44,7,6.29,"洪通燃气(SH605169,+22%)"
银行Ⅱ,100,16,6.25,"中信银行(SH601998,+12%)"
物流,56,9,6.22,"嘉友国际(SH603871,+4%)"
旅游及景区,48,8,6.0,"大连圣亚(SH600593,+7%)"
农产品加工,42,7,6.0,"金健米业(SH600127,+112%)"
证券Ⅱ,42,7,6.0,"东吴证券(SH601555,+6%)"
航空装备Ⅱ,36,6,6.0,"立航科技(SH603261,+12%)"
塑料,30,5,6.0,"海正生材(SH688203,+44%)"
炼化及贸易,30,5,6.0,"桐昆股份(SH601233,+23%)"
自动化设备,30,5,6.0,"艾隆科技(SH688329,+30%)"
基础建设,24,4,6.0,"汇通集团(SH603176,+22%)"
环保设备Ⅱ,24,4,6.0,"亚光股份(SH603282,+21%)"
造纸,24,4,6.0,"民丰特纸(SH600235,+8%)"
铁路公路,24,4,6.0,"宁沪高速(SH600377,+1%)"
冶钢原料,18,3,6.0,"宝地矿业(SH601121,+7%)"
纺织制造,18,3,6.0,"新澳股份(SH603889,+4%)"
油服工程,12,2,6.0,"海油工程(SH600583,+8%)"
油气开采Ⅱ,12,2,6.0,"中国海油(SH600938,+9%)"
航海装备Ⅱ,12,2,6.0,"松发股份(SH603268,+30%)"
金属新材料,12,2,6.0,"华达新材(SH605158,+21%)"
饮料乳品,12,2,6.0,"泉阳泉(SH600189,+6%)"
黑色家电,12,2,6.0,"海信视像(SH600060,+5%)"
专业服务,6,1,6.0,"安邦护卫(SH603373,+29%)"
专业连锁Ⅱ,6,1,6.0,"爱婴室(SH603214,+4%)"
其他电源设备Ⅱ,6,1,6.0,"绿能慧充(SH600212,+14%)"
动物保健Ⅱ,6,1,6.0,"中牧股份(SH600195,+3%)"
医疗服务,6,1,6.0,"百花医药(SH600721,+93%)"
医药商业,6,1,6.0,"开开实业(SH600272,+69%)"
半导体,6,1,6.0,"英集芯(SH688209,+45%)"
厨卫电器,6,1,6.0,"日出东方(SH603366,+12%)"
房地产服务,6,1,6.0,"南都物业(SH603506,+14%)"
文娱用品,6,1,6.0,"浙江自然(SH605080,+15%)"
消费电子,6,1,6.0,"科森科技(SH603626,+57%)"
焦炭Ⅱ,6,1,6.0,"开滦股份(SH600997,+3%)"
电视广播Ⅱ,6,1,6.0,"东方明珠(SH600637,+3%)"
白酒Ⅱ,6,1,6.0,"迎驾贡酒(SH603198,+7%)"
电网设备,46,8,5.75,"风范股份(SH601700,+49%)"
通用设备,68,12,5.67,"铂力特(SH688333,+42%)"
农化制品,56,10,5.6,"赤天化(SH600227,+55%)"
航运港口,56,10,5.6,"锦江航运(SH601083,+15%)"
军工电子Ⅱ,28,5,5.6,"国睿科技(SH600562,+23%)"
化学纤维,28,5,5.6,"新凤鸣(SH603225,+7%)"
