ticker,prefixed,name,sector,industry,date,close,chg20,volume,score,passed,uptrend
SH603221,sh603221,爱丽家居,,家居用品,2026-08-31,27.77,140.6,401129902,1.0,uptrend,7/8
SH600613,sh600613,神奇制药,,化学制药,2026-08-31,11.16,123.6,611885488,1.0,uptrend,7/8
SH603269,sh603269,海鸥股份,,通用设备,2026-08-31,24.4,118.1,479872954,1.0,uptrend,7/8
SH600127,sh600127,金健米业,,农产品加工,2026-08-31,12.04,112.3,1190485003,1.0,uptrend,8/8
SH688143,sh688143,长盈通,,通信设备,2026-08-31,160.98,95.8,254772869682,1.0,uptrend,5/8
SH688137,sh688137,近岸蛋白,,生物制品,2026-08-31,68.77,93.9,41922931168,1.0,uptrend,7/8
SH600721,sh600721,百花医药,,医疗服务,2026-08-31,13.9,93.1,1463381539,1.0,uptrend,7/8
SH688300,sh688300,联瑞新材,,非金属材料Ⅱ,2026-08-31,193.0,92.6,250696684022,1.0,uptrend,5/8
SH603186,sh603186,华正新材,,元件,2026-08-31,182.5,85.1,3648481804,1.0,uptrend,5/8
SH600371,sh600371,万向德农,,种植业,2026-08-31,12.69,82.9,166442705,1.0,uptrend,8/8
SH688195,sh688195,腾景科技,,光学光电子,2026-08-31,196.88,78.0,214806530849,1.0,uptrend,6/8
SH603580,sh603580,艾艾精工,,塑料,2026-08-31,85.83,75.8,834305404,1.0,uptrend,7/8
SH600353,sh600353,旭光电子,,其他电子Ⅱ,2026-08-31,36.6,73.9,2435112553,1.0,uptrend,5/8
SH600330,sh600330,天通股份,,电子化学品Ⅱ,2026-08-31,28.42,72.6,3569475080,1.0,uptrend,6/8
SH600272,sh600272,开开实业,,医药商业,2026-08-31,18.26,69.2,740797404,1.0,uptrend,7/8
SH603958,sh603958,哈森股份,,服装家纺,2026-08-31,22.6,64.7,352860640,1.0,uptrend,8/8
SH688296,sh688296,和达科技,,软件开发,2026-08-31,24.39,63.7,16701884485,1.0,uptrend,6/8
